# WebAssembly opcode dispatch table
# Generated by gen-dispatch.awk into dispatch_gen.c and dispatch_gen.h
#
# Format: prefix | sub-opcode | name | exec_template | validate_handler | params...
#   prefix: - (main), fb (GC), fc (misc), fd (SIMD)
#   exec_template: CUSTOM means hand-written execute handler (name in params)
#   Template params use ; as separator (| is the field delimiter)
#   Templates: I32_BIN, I32_UN, I64_BIN, I64_UN, I64_CMP, I64_TEST,
#     F32_BIN, F32_UN, F32_CMP, F64_BIN, F64_UN, F64_CMP,
#     I32_DIV_S, I32_DIV_U, I32_REM_S, I32_REM_U,
#     I64_DIV_S, I64_DIV_U, I64_REM_S, I64_REM_U,
#     F32_MIN, F32_MAX, F32_COPYSIGN, F64_MIN, F64_MAX, F64_COPYSIGN,
#     CONST_I32, CONST_I64, CONST_F32, CONST_F64,
#     CONV (conversion with params), SAT_TRUNC

# ---- Control flow ----
-|0x25|table_get|CUSTOM|validate_op_table_get|execute_op_table
-|0x26|table_set|CUSTOM|validate_op_table_set|execute_op_table

# ---- Memory loads ----
-|0x28|i32_load|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x29|i64_load|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x2a|f32_load|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x2b|f64_load|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x2c|i32_load8_s|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x2d|i32_load8_u|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x2e|i32_load16_s|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x2f|i32_load16_u|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x30|i64_load8_s|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x31|i64_load8_u|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x32|i64_load16_s|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x33|i64_load16_u|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x34|i64_load32_s|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x35|i64_load32_u|CUSTOM|validate_op_table_driven|execute_op_memory

# ---- Memory stores ----
-|0x36|i32_store|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x37|i64_store|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x38|f32_store|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x39|f64_store|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x3a|i32_store8|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x3b|i32_store16|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x3c|i64_store8|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x3d|i64_store16|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x3e|i64_store32|CUSTOM|validate_op_table_driven|execute_op_memory

# ---- Memory size/grow ----
-|0x3f|memory_size|CUSTOM|validate_op_table_driven|execute_op_memory
-|0x40|memory_grow|CUSTOM|validate_op_table_driven|execute_op_memory

# ---- Constants ----
-|0x41|i32_const|CONST_I32|validate_op_table_driven
-|0x42|i64_const|CONST_I64|validate_op_table_driven
-|0x43|f32_const|CONST_F32|validate_op_table_driven
-|0x44|f64_const|CONST_F64|validate_op_table_driven

# ---- i32 comparisons (pop i32 i32, push i32) ----
-|0x45|i32_eqz|I32_UN|validate_op_table_driven|b == 0
-|0x46|i32_eq|I32_BIN|validate_op_table_driven|a == b
-|0x47|i32_ne|I32_BIN|validate_op_table_driven|a != b
-|0x48|i32_lt_s|I32_BIN|validate_op_table_driven|(int32_t)a < (int32_t)b
-|0x49|i32_lt_u|I32_BIN|validate_op_table_driven|a < b
-|0x4a|i32_gt_s|I32_BIN|validate_op_table_driven|(int32_t)a > (int32_t)b
-|0x4b|i32_gt_u|I32_BIN|validate_op_table_driven|a > b
-|0x4c|i32_le_s|I32_BIN|validate_op_table_driven|(int32_t)a <= (int32_t)b
-|0x4d|i32_le_u|I32_BIN|validate_op_table_driven|a <= b
-|0x4e|i32_ge_s|I32_BIN|validate_op_table_driven|(int32_t)a >= (int32_t)b
-|0x4f|i32_ge_u|I32_BIN|validate_op_table_driven|a >= b

# ---- i64 comparisons (pop i64 [i64], push i32) ----
-|0x50|i64_eqz|I64_TEST|validate_op_table_driven|b == 0
-|0x51|i64_eq|I64_CMP|validate_op_table_driven|a == b
-|0x52|i64_ne|I64_CMP|validate_op_table_driven|a != b
-|0x53|i64_lt_s|I64_CMP|validate_op_table_driven|(int64_t)a < (int64_t)b
-|0x54|i64_lt_u|I64_CMP|validate_op_table_driven|a < b
-|0x55|i64_gt_s|I64_CMP|validate_op_table_driven|(int64_t)a > (int64_t)b
-|0x56|i64_gt_u|I64_CMP|validate_op_table_driven|a > b
-|0x57|i64_le_s|I64_CMP|validate_op_table_driven|(int64_t)a <= (int64_t)b
-|0x58|i64_le_u|I64_CMP|validate_op_table_driven|a <= b
-|0x59|i64_ge_s|I64_CMP|validate_op_table_driven|(int64_t)a >= (int64_t)b
-|0x5a|i64_ge_u|I64_CMP|validate_op_table_driven|a >= b

# ---- f32 comparisons (pop f32 f32, push i32) ----
-|0x5b|f32_eq|F32_CMP|validate_op_table_driven|a == b
-|0x5c|f32_ne|F32_CMP|validate_op_table_driven|a != b
-|0x5d|f32_lt|F32_CMP|validate_op_table_driven|a < b
-|0x5e|f32_gt|F32_CMP|validate_op_table_driven|a > b
-|0x5f|f32_le|F32_CMP|validate_op_table_driven|a <= b
-|0x60|f32_ge|F32_CMP|validate_op_table_driven|a >= b

# ---- f64 comparisons (pop f64 f64, push i32) ----
-|0x61|f64_eq|F64_CMP|validate_op_table_driven|a == b
-|0x62|f64_ne|F64_CMP|validate_op_table_driven|a != b
-|0x63|f64_lt|F64_CMP|validate_op_table_driven|a < b
-|0x64|f64_gt|F64_CMP|validate_op_table_driven|a > b
-|0x65|f64_le|F64_CMP|validate_op_table_driven|a <= b
-|0x66|f64_ge|F64_CMP|validate_op_table_driven|a >= b

# ---- i32 unary arithmetic (pop i32, push i32) ----
-|0x67|i32_clz|I32_UN|validate_op_table_driven|b ? (uint32_t)__builtin_clz(b) : 32u
-|0x68|i32_ctz|I32_UN|validate_op_table_driven|b ? (uint32_t)__builtin_ctz(b) : 32u
-|0x69|i32_popcnt|I32_UN|validate_op_table_driven|(uint32_t)__builtin_popcount(b)

# ---- i32 binary arithmetic (pop i32 i32, push i32) ----
-|0x6a|i32_add|I32_BIN|validate_op_table_driven|a + b
-|0x6b|i32_sub|I32_BIN|validate_op_table_driven|a - b
-|0x6c|i32_mul|I32_BIN|validate_op_table_driven|a * b
-|0x6d|i32_div_s|I32_DIV_S|validate_op_table_driven
-|0x6e|i32_div_u|I32_DIV_U|validate_op_table_driven
-|0x6f|i32_rem_s|I32_REM_S|validate_op_table_driven
-|0x70|i32_rem_u|I32_REM_U|validate_op_table_driven
-|0x71|i32_and|I32_BIN|validate_op_table_driven|a & b
-|0x72|i32_or|I32_BIN|validate_op_table_driven|a | b
-|0x73|i32_xor|I32_BIN|validate_op_table_driven|a ^ b
-|0x74|i32_shl|I32_BIN|validate_op_table_driven|a << (b & 31u)
-|0x75|i32_shr_s|I32_BIN|validate_op_table_driven|(uint32_t)((int32_t)a >> (b & 31u))
-|0x76|i32_shr_u|I32_BIN|validate_op_table_driven|a >> (b & 31u)
-|0x77|i32_rotl|I32_ROTL|validate_op_table_driven
-|0x78|i32_rotr|I32_ROTR|validate_op_table_driven

# ---- i64 unary arithmetic (pop i64, push i64) ----
-|0x79|i64_clz|I64_UN|validate_op_table_driven|b ? (uint64_t)__builtin_clzll(b) : 64u
-|0x7a|i64_ctz|I64_UN|validate_op_table_driven|b ? (uint64_t)__builtin_ctzll(b) : 64u
-|0x7b|i64_popcnt|I64_UN|validate_op_table_driven|(uint64_t)__builtin_popcountll(b)

# ---- i64 binary arithmetic (pop i64 i64, push i64) ----
-|0x7c|i64_add|I64_BIN|validate_op_table_driven|a + b
-|0x7d|i64_sub|I64_BIN|validate_op_table_driven|a - b
-|0x7e|i64_mul|I64_BIN|validate_op_table_driven|a * b
-|0x7f|i64_div_s|I64_DIV_S|validate_op_table_driven
-|0x80|i64_div_u|I64_DIV_U|validate_op_table_driven
-|0x81|i64_rem_s|I64_REM_S|validate_op_table_driven
-|0x82|i64_rem_u|I64_REM_U|validate_op_table_driven
-|0x83|i64_and|I64_BIN|validate_op_table_driven|a & b
-|0x84|i64_or|I64_BIN|validate_op_table_driven|a | b
-|0x85|i64_xor|I64_BIN|validate_op_table_driven|a ^ b
-|0x86|i64_shl|I64_BIN|validate_op_table_driven|a << (b & 63u)
-|0x87|i64_shr_s|I64_BIN|validate_op_table_driven|(uint64_t)((int64_t)a >> (b & 63u))
-|0x88|i64_shr_u|I64_BIN|validate_op_table_driven|a >> (b & 63u)
-|0x89|i64_rotl|I64_ROTL|validate_op_table_driven
-|0x8a|i64_rotr|I64_ROTR|validate_op_table_driven

# ---- f32 unary (pop f32, push f32) ----
-|0x8b|f32_abs|F32_UN|validate_op_table_driven|fabsf(b)
-|0x8c|f32_neg|F32_UN|validate_op_table_driven|-b
-|0x8d|f32_ceil|F32_UN|validate_op_table_driven|ceilf(b)
-|0x8e|f32_floor|F32_UN|validate_op_table_driven|floorf(b)
-|0x8f|f32_trunc|F32_UN|validate_op_table_driven|truncf(b)
-|0x90|f32_nearest|F32_UN|validate_op_table_driven|nearbyintf(b)
-|0x91|f32_sqrt|F32_UN|validate_op_table_driven|sqrtf(b)

# ---- f32 binary (pop f32 f32, push f32) ----
-|0x92|f32_add|F32_BIN|validate_op_table_driven|a + b
-|0x93|f32_sub|F32_BIN|validate_op_table_driven|a - b
-|0x94|f32_mul|F32_BIN|validate_op_table_driven|a * b
-|0x95|f32_div|F32_BIN|validate_op_table_driven|a / b
-|0x96|f32_min|F32_MIN|validate_op_table_driven
-|0x97|f32_max|F32_MAX|validate_op_table_driven
-|0x98|f32_copysign|F32_COPYSIGN|validate_op_table_driven

# ---- f64 unary (pop f64, push f64) ----
-|0x99|f64_abs|F64_UN|validate_op_table_driven|fabs(b)
-|0x9a|f64_neg|F64_UN|validate_op_table_driven|-b
-|0x9b|f64_ceil|F64_UN|validate_op_table_driven|ceil(b)
-|0x9c|f64_floor|F64_UN|validate_op_table_driven|floor(b)
-|0x9d|f64_trunc|F64_UN|validate_op_table_driven|trunc(b)
-|0x9e|f64_nearest|F64_UN|validate_op_table_driven|nearbyint(b)
-|0x9f|f64_sqrt|F64_UN|validate_op_table_driven|sqrt(b)

# ---- f64 binary (pop f64 f64, push f64) ----
-|0xa0|f64_add|F64_BIN|validate_op_table_driven|a + b
-|0xa1|f64_sub|F64_BIN|validate_op_table_driven|a - b
-|0xa2|f64_mul|F64_BIN|validate_op_table_driven|a * b
-|0xa3|f64_div|F64_BIN|validate_op_table_driven|a / b
-|0xa4|f64_min|F64_MIN|validate_op_table_driven
-|0xa5|f64_max|F64_MAX|validate_op_table_driven
-|0xa6|f64_copysign|F64_COPYSIGN|validate_op_table_driven

# ---- Conversions ----
-|0xa7|i32_wrap_i64|CONV|validate_op_table_driven|i64;i32;out.i32 = (int32_t)v.i64
-|0xa8|i32_trunc_f32_s|TRUNC|validate_op_table_driven|f32;i32;-2147483904.0f;2147483648.0f;<=;out.i32 = (int32_t)f
-|0xa9|i32_trunc_f32_u|TRUNC|validate_op_table_driven|f32;i32;-1.0f;4294967296.0f;<=;out.i32 = (int32_t)(uint32_t)f
-|0xaa|i32_trunc_f64_s|TRUNC|validate_op_table_driven|f64;i32;-2147483649.0;2147483648.0;<=;out.i32 = (int32_t)f
-|0xab|i32_trunc_f64_u|TRUNC|validate_op_table_driven|f64;i32;-1.0;4294967296.0;<=;out.i32 = (int32_t)(uint32_t)f
-|0xac|i64_extend_i32_s|CONV|validate_op_table_driven|i32;i64;out.i64 = (int64_t)(int32_t)v.i32
-|0xad|i64_extend_i32_u|CONV|validate_op_table_driven|i32;i64;out.i64 = (int64_t)(uint32_t)(uint32_t)v.i32
-|0xae|i64_trunc_f32_s|TRUNC|validate_op_table_driven|f32;i64;-9223372036854775808.0f;9223372036854775808.0f;<;out.i64 = (int64_t)f
-|0xaf|i64_trunc_f32_u|TRUNC|validate_op_table_driven|f32;i64;-1.0f;18446744073709551616.0f;<=;out.i64 = (int64_t)(uint64_t)f
-|0xb0|i64_trunc_f64_s|TRUNC|validate_op_table_driven|f64;i64;-9223372036854775808.0;9223372036854775808.0;<;out.i64 = (int64_t)f
-|0xb1|i64_trunc_f64_u|TRUNC|validate_op_table_driven|f64;i64;-1.0;18446744073709551616.0;<=;out.i64 = (int64_t)(uint64_t)f
-|0xb2|f32_convert_i32_s|CONV_F|validate_op_table_driven|i32;f32;float;(float)(int32_t)v.i32
-|0xb3|f32_convert_i32_u|CONV_F|validate_op_table_driven|i32;f32;float;(float)(uint32_t)v.i32
-|0xb4|f32_convert_i64_s|CONV_F|validate_op_table_driven|i64;f32;float;(float)(int64_t)v.i64
-|0xb5|f32_convert_i64_u|CONV_F|validate_op_table_driven|i64;f32;float;(float)(uint64_t)v.i64
-|0xb6|f32_demote_f64|CONV_DEMOTE|validate_op_table_driven
-|0xb7|f64_convert_i32_s|CONV_F|validate_op_table_driven|i32;f64;double;(double)(int32_t)v.i32
-|0xb8|f64_convert_i32_u|CONV_F|validate_op_table_driven|i32;f64;double;(double)(uint32_t)v.i32
-|0xb9|f64_convert_i64_s|CONV_F|validate_op_table_driven|i64;f64;double;(double)(int64_t)v.i64
-|0xba|f64_convert_i64_u|CONV_F|validate_op_table_driven|i64;f64;double;(double)(uint64_t)v.i64
-|0xbb|f64_promote_f32|CONV_PROMOTE|validate_op_table_driven
-|0xbc|i32_reinterpret_f32|REINTERPRET|validate_op_table_driven|f32;i32;4
-|0xbd|i64_reinterpret_f64|REINTERPRET|validate_op_table_driven|f64;i64;8
-|0xbe|f32_reinterpret_i32|REINTERPRET|validate_op_table_driven|i32;f32;4
-|0xbf|f64_reinterpret_i64|REINTERPRET|validate_op_table_driven|i64;f64;8

# ---- Sign extension ----
-|0xc0|i32_extend8_s|I32_UN|validate_op_table_driven|(uint32_t)(int32_t)(int8_t)b
-|0xc1|i32_extend16_s|I32_UN|validate_op_table_driven|(uint32_t)(int32_t)(int16_t)b
-|0xc2|i64_extend8_s|I64_UN|validate_op_table_driven|(uint64_t)(int64_t)(int8_t)b
-|0xc3|i64_extend16_s|I64_UN|validate_op_table_driven|(uint64_t)(int64_t)(int16_t)b
-|0xc4|i64_extend32_s|I64_UN|validate_op_table_driven|(uint64_t)(int64_t)(int32_t)b

# ---- References ----
-|0xd0|ref_null|CUSTOM|validate_op_ref_null|execute_op_ref_null
-|0xd1|ref_is_null|CUSTOM|validate_op_ref_is_null|execute_op_ref_is_null
-|0xd2|ref_func|CUSTOM|validate_op_ref_func|execute_op_ref_func
-|0xd3|ref_eq|CUSTOM|validate_op_ref_eq|execute_op_ref_eq
-|0xd4|ref_as_non_null|CUSTOM|validate_op_ref_as_non_null|execute_op_ref_as_non_null
-|0xd5|br_on_null|CUSTOM|validate_op_br_on_null|execute_op_branch
-|0xd6|br_on_non_null|CUSTOM|validate_op_br_on_null|execute_op_branch

# ---- GC prefix (0xfb) - single entry, internal dispatch ----
-|0xfb|gc_prefix|CUSTOM|validate_op_gc|execute_op_gc
# ---- Misc prefix (0xfc) - single entry, internal dispatch ----
-|0xfc|fc_prefix|CUSTOM|validate_op_fc|execute_op_fc
# ---- SIMD prefix (0xfd) - single entry, internal dispatch ----
-|0xfd|simd_prefix|CUSTOM|validate_op_simd|execute_op_simd
